1894,1
1895,1
1896,1
1900,13
1902,3
1903,4
1904,3
1905,5
1906,3
1907,4
1908,1
1909,4
1910,20
1911,2
1912,12
1913,11
1914,12
1915,29
1916,14
1917,24
1918,36
1919,29
1920,211
1921,116
1922,328
1923,319
1924,565
1925,751
1926,1083
1927,1411
1928,2313
1929,2562
1930,4796
1931,3508
1932,6495
1933,6474
1934,8725
1935,10856
1936,14674
1937,16902
1938,19085
1939,18982
1940,21833
1941,16846
1942,16411
1943,9903
1944,11317
1945,12865
1946,20371
1947,28061
1948,31580
1949,34591
1950,41738
1951,44759
1952,50177
1953,49006
1954,59853
1955,68333
1956,76581
1957,82957
1958,91018
1959,96520
1960,103439
1961,105407
1962,104455
1963,106484
1964,101428
1965,103382
1966,103564
1967,97153
1968,98953
1969,93048
1970,95862
1971,92472
1972,88559
1973,88047
1974,87583
1975,89928
1976,94795
1977,95945
1978,96517
1979,100580
1980,104399
1981,110844
1982,109291
1983,116052
1984,119939
1985,126839
1986,129374
1987,130439
1988,131206
1989,131374
1990,132711
1991,128820
1992,124591
1993,120573
1994,118013
1995,112931
1996,107193
1997,93371
1998,88871
1999,81784
2000,65340
2001,65747
2002,5392
