SEVİNC,36306
GÜNEL,31157
GÜNAY,27777
AYGÜN,27293
ELÇİN,27193
VÜQAR,25991
ƏLİ,25252
SEVDA,25174
ARZU,24970
KÖNÜL,24646
ANAR,24576
LEYLA,24530
ELNUR,23714
TƏRANƏ,23653
VÜSALƏ,23449
ELŞƏN,23326
SAMİR,22734
ELVİN,22555
GÜLNARƏ,22304
VÜSAL,21962
İLQAR,21827
KƏMALƏ,21571
RƏŞAD,21401
ORXAN,21356
GÜLNAR,21216
SAMİRƏ,20759
LALƏ,20404
AZƏR,20298
AYSEL,19787
TURAL,19770
SƏBİNƏ,19631
YEGANƏ,19493
ELMİRA,19309
ELNARƏ,19305
AYNUR,19253
RÖVŞƏN,19177
ZAUR,18388
MƏTANƏT,17899
İRADƏ,17689
PƏRVANƏ,17551
AYNURƏ,17466
XƏYALƏ,17363
İLHAM,17252
RƏNA,17248
RAMİL,17028
NİGAR,17024
ÜLVİYYƏ,16976
CEYHUN,16955
AYTƏN,16899
RUSLAN,16623
SEVİL,16397
NƏRGİZ,16127
MƏHƏMMƏD,15654
MEHRİBAN,15645
EMİN,15635
FƏRİDƏ,15593
NATİQ,15360
ŞAHİN,15289
NAİLƏ,15127
NURANƏ,14653
NƏZAKƏT,14573
CƏMİLƏ,14538
RASİM,14163
MƏLAHƏT,14071
HÜSEYN,14035
İLHAMƏ,14033
VAQİF,14016
KAMRAN,13965
GÜLŞƏN,13926
FƏRİD,13897
RAMİN,13877
NİCAT,13823
İSMAYIL,13779
SOLMAZ,13760
VƏFA,13754
MURAD,13686
NƏRMİN,13652
NAMİQ,13614
ŞƏHLA,13608
CAVİD,13472
İLAHƏ,13164
FATMA,13097
ELŞAD,13054
ARİF,12927
YUSİF,12754
ELXAN,12751
FUAD,12651
XATİRƏ,12601
MEHMAN,12543
MAHİR,12468
İLKİN,12465
RAUF,12244
XALİDƏ,12240
SƏADƏT,12210
ELMAN,12181
PƏRVİZ,12112
RAMİZ,11955
ƏFSANƏ,11938
ESMİRA,11884
AYBƏNİZ,11833
SƏDAQƏT,11808
ELDAR,11778
NAZİM,11677
RAFİQ,11642
SEYMUR,11544
İBRAHİM,11461
ASİF,11202
AYTAC,10876
KƏNAN,10813
XANIM,10798
ÜLKƏR,10775
AYDIN,10771
ZÜLFİYYƏ,10637
NAZİLƏ,10523
TAHİR,10507
ŞƏLALƏ,10412
BƏXTİYAR,10339
SƏİDƏ,10328
ZEYNƏB,10229
NURLAN,10223
AKİF,10207
KAMİL,9912
NİZAMİ,9833
ADİL,9740
AİDƏ,9640
AFƏT,9573
HƏSƏN,9562
SƏKİNƏ,9513
FAİQ,9510
TƏRLAN,9407
YAŞAR,9406
EMİL,9360
TOFİQ,9247
VASİF,9233
ZƏRİFƏ,9178
SAHİB,9177
VALİDƏ,9156
MÜBARİZ,9091
TÜNZALƏ,9074
TALEH,9069
MƏMMƏD,8932
BAHAR,8895
SONA,8886
NƏRMİNƏ,8823
BƏHRUZ,8814
GÜLNAZ,8790
KİFAYƏT,8757
RƏFİQƏ,8688
XURAMAN,8648
MAHİRƏ,8597
VAHİD,8587
TAHİRƏ,8477
RÜFƏT,8467
DİLARƏ,8389
ZƏMİNƏ,8360
TEYMUR,8349
FİRUZƏ,8334
TELMAN,8295
XƏYAL,8048
REYHAN,7945
RÜSTƏM,7921
RAMİLƏ,7912
ŞƏFİQƏ,7821
FİDAN,7820
SABİR,7817
RAHİLƏ,7801
FƏRHAD,7788
AZAD,7784
ÇİNGİZ,7739
PƏRVİN,7718
ETİBAR,7706
SƏBUHİ,7701
SƏNAN,7687
VİDADİ,7561
NADİR,7536
AYŞƏN,7527
ƏHMƏD,7395
GÜLARƏ,7387
HƏQİQƏT,7342
ŞƏBNƏM,7338
ZAKİR,7286
ELMƏDDİN,7156
TÜRKAN,7137
AQİL,7084
LƏMAN,7043
